"group","treatment","outcome","mean1","sd1","groupSize","age","height","weight","female","student","setting1","setting2","setting3"
1,1,0.0694335518253643,0.193333333333333,0.100664459136943,3,24,185.333333333333,78,0,0.666666666666667,1,0,0
3,1,-0.0869410344185937,0.32,0.336005952328229,3,21.3333333333333,183.666666666667,78,1,1,1,0,0
4,1,0.00607747430867461,1.31666666666667,0.479617903474561,3,19.3333333333333,163,61.6666666666667,1,1,1,0,0
7,1,0.304055915910215,0.2,0.113137084989848,2,21,168,71,1,1,1,0,0
8,1,0.664680374315355,0.105,0.148492424049175,2,20,174.5,90,1,1,1,0,0
9,1,-0.0212132034355964,0.93,0.197989898732233,2,23.5,170.5,75,0.5,1,1,0,0
10,1,-0.00707106781186547,0.15,0.0565685424949238,2,22,171,58.5,1,1,1,0,0
11,1,0.45254833995939,0.165,0.0353553390593274,2,21,166,57.5,1,1,1,0,0
12,1,-0.0424264068711928,0.05,0.0707106781186548,2,27,185,82,0,0.5,1,0,0
13,1,0.237242682248133,0.956666666666667,0.188237438713273,3,21,170,68.6666666666667,0.666666666666667,0.666666666666667,1,0,0
15,1,0.325472356069774,0.042,0.0584807660688538,5,20.8,178.2,73.2,0.6,1,1,0,0
17,1,0.381837661840736,1.165,0.190918830920368,2,21.5,176,81,1,1,1,0,0
18,1,0.127279220613579,0.785,0.0919238815542512,2,23.5,168,64,1,1,1,0,0
20,1,0.057726455193394,0.546666666666667,0.262741951985847,3,25,179,82.3333333333333,0,1,1,0,0
21,1,0.190918830920368,1.405,0.530330085889911,2,22.5,178.5,77,0.5,1,1,0,0
22,1,-0.0989949493661165,0.8,0.494974746830583,2,22.5,186.5,76.5,0,1,1,0,0
23,1,0.0919238815542513,0.995,0.00707106781186548,2,22.5,180,82,0.5,1,1,0,0
24,1,0.0919238815542514,1.885,0.134350288425444,2,21,186,81,0,1,1,0,0
25,1,-0.0352924915786975,0.804,0.382596393082841,5,23.2,177.2,69.2,0.6,1,1,0,0
27,1,-0.0631408659836298,0.766666666666667,0.666658333281249,3,21.6666666666667,166,64,1,1,1,0,0
28,1,0.180416425818802,1.22,0.18,3,25,174.666666666667,72,0.333333333333333,1,1,0,0
29,1,0.106066017177982,0.43,0.0565685424949238,2,23,171,103.5,1,1,1,0,0
31,1,0.0707106781186548,0.255,0.162634559672906,2,57,184,78.5,0.5,0,0,1,0
32,1,0.0494974746830583,0.065,0.0919238815542512,2,51.5,183.5,100,0.5,0,0,1,0
33,1,-0.367509416473375,1.17333333333333,1.1060440015358,3,38.6666666666667,176,87.6666666666667,0.333333333333333,0,0,1,0
34,1,0.264120499564337,0.448333333333333,0.334210512501726,6,35.3333333333333,173.333333333333,78.8333333333333,0.5,0.166666666666667,0,1,0
35,1,0.373085894505034,0.13,0.135277492584687,3,32.3333333333333,168.666666666667,67.6666666666667,0.666666666666667,0,0,1,0
37,1,-0.0919238815542512,0.325,0.318198051533946,2,26,168.5,76.5,1,0.5,0,1,0
39,1,0.0707106781186548,0.065,0.0919238815542512,2,21,162,74,0.5,0.5,0,1,0
40,1,0.00707106781186545,0.49,0.0848528137423857,2,21,175.5,66.5,0.5,0,0,1,0
42,1,-0.00264844094000594,0.483333333333333,0.529937103186155,3,20.3333333333333,169,58,1,0.333333333333333,0,1,0
45,1,0.607209595106202,1.24333333333333,0.290918086982115,3,21.6666666666667,181.333333333333,86.3333333333333,0,0.333333333333333,0,1,0
46,1,0.014142135623731,1.32,0.0707106781186548,2,21,180,96,0,0.5,0,1,0
47,1,-0.00804684784197734,0.7,0.339558536926993,3,21.3333333333333,176.666666666667,65.6666666666667,0.333333333333333,0,0,1,0
49,1,-0.169705627484772,0.795,0.403050865276332,2,26.5,184,86,0,0.5,0,1,0
50,1,0.268700576850888,1.16,0.0565685424949237,2,30,170,63,0.5,0,0,1,0
54,1,-0.0777817459305203,0.875,0.134350288425444,2,21.5,178.5,99.5,0,0,0,1,0
56,1,-0.0494215064345764,1.22,0.537308105280388,3,24,189.333333333333,86.6666666666667,0,0,0,1,0
57,1,-0.304055915910215,0.71,0.395979797464467,2,24,176,95.5,1,0,0,1,0
59,1,0.045,0,0,4,54,182.25,83.25,0.5,0,0,0,1
61,1,-0.14142135623731,0.12,0.169705627484771,2,36,183,93.5,0,0,0,0,1
63,1,0,0,0,2,52.5,168,68.5,0.5,0,0,0,1
64,1,0,0,0,2,55.5,180.5,87.5,0.5,0,0,0,1
65,0,0.190918830920368,0.425,0.332340187157677,2,34.5,167,62.5,1,0,0,0,1
66,1,0.360624458405139,0.7,0.0989949493661167,2,22.5,174.5,88.5,0.5,0,0,0,1
67,1,-0.0766030421080336,0.72,0.404474968323134,3,56.3333333333333,185.333333333333,101,0,0,0,0,1
68,0,0.0282842712474619,0,0,2,52.5,163,65.5,1,0,0,0,1
70,1,-0.190918830920368,0.335,0.332340187157677,2,18.5,176,62.5,1,0.5,0,0,1
71,1,0.0249691330703606,0.6525,0.286050694807756,4,32,166.75,68.25,1,0,0,0,1
72,1,0.447064639614585,0.353333333333333,0.371124417592447,3,33.6666666666667,181,78,0.333333333333333,0,0,0,1
74,1,-0.106030455745742,0.705,0.71858657562375,4,21.75,177.25,78.25,0.25,0,0,0,1
75,1,0.0557659056015738,1.13666666666667,0.228546129552293,3,24.3333333333333,193,101.666666666667,0,0,0,0,1
76,0,0.394557674045457,0.2,0.346410161513775,3,20.6666666666667,180,88,0,0,0,0,1
77,1,0.299820424172664,0.3025,0.605,4,18.5,164.5,55,1,0.25,0,0,1
78,0,-0.0848528137423859,0.45,0.113137084989848,2,18,177.5,66.5,1,0,0,0,1
79,1,-0.367066716544694,0.453333333333333,0.500233278914281,3,22.6666666666667,167.333333333333,91,1,0.666666666666667,0,0,1
